N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper,point_est_feasible,main_seed_verdict,main_seed_m,verify_seed_verdict,verify_seed_m
44,4970,8.980452039796662,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
236,3269,8.980452039796662,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
300,2702,8.980452039796662,12,200,0.06,0.03465219410651454,0.10193169336217282,False,insufficient,200,,
364,2135,8.980452039796662,23,200,0.115,0.07786373208518774,0.16664716944991373,False,insufficient,200,,
428,1568,8.980452039796662,52,200,0.26,0.2041383002358024,0.32490745656529973,False,insufficient,200,,
492,1001,8.980452039796662,91,200,0.455,0.3874821925827813,0.5242138868174252,False,insufficient,200,,
556,434,8.980452039796662,141,200,0.705,0.638412854206739,0.7638605618589861,False,insufficient,200,,
108,4403,8.980452039796663,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
172,3836,8.980452039796663,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
51,4908,8.980478219735442,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
115,4341,8.980478219735442,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
179,3774,8.980478219735442,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
243,3207,8.980478219735442,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
307,2640,8.980478219735442,14,200,0.07,0.04215217166140097,0.11405480927390717,False,insufficient,200,,
371,2073,8.980478219735442,24,200,0.12,0.0819799268161472,0.17234252145226464,False,insufficient,200,,
435,1506,8.980478219735442,59,200,0.295,0.2361394381410138,0.3615871457932609,False,insufficient,200,,
499,939,8.980478219735442,96,200,0.48,0.4117916632582544,0.548962149808504,False,insufficient,200,,
563,372,8.980478219735442,148,200,0.74,0.6750925434347002,0.7958616997641975,False,insufficient,200,,
58,4846,8.98050439967422,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
570,310,8.98050439967422,155,200,0.775,0.7122587671141067,0.8273763032179636,False,insufficient,200,,
122,4279,8.980504399674222,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
186,3712,8.980504399674222,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
