N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper
0,2706,4.533946517660789,0,25,0.0,0.0,0.13319225276039096
0,4059,6.800919776491184,0,25,0.0,0.0,0.13319225276039096
0,4736,7.935244163947338,0,25,0.0,0.0,0.13319225276039096
0,5074,8.501568599634458,0,25,0.0,0.0,0.13319225276039096
0,5243,8.78473081747802,0,25,0.0,0.0,0.13319225276039096
0,5328,8.927149684440757,0,25,0.0,0.0,0.13319225276039096
0,5349,8.962335522160961,0,25,0.0,0.0,0.13319225276039096
0,5352,8.967362070406706,0,100,0.0,0.0,0.03699349876899627
0,5353,8.96903758648862,0,100,0.0,0.0,0.03699349876899627
0,5354,8.970713102570533,0,100,0.0,0.0,0.03699349876899627
0,5355,8.972388618652449,0,100,0.0,0.0,0.03699349876899627
0,5356,8.974064134734363,0,100,0.0,0.0,0.03699349876899627
0,5357,8.975739650816278,0,100,0.0,0.0,0.03699349876899627
0,5358,8.977415166898192,0,100,0.0,0.0,0.03699349876899627
0,5359,8.979090682980107,0,100,0.0,0.0,0.03699349876899627
0,5360,8.980766199062021,0,200,0.0,0.0,0.018845326668962936
0,5365,8.989143779471593,0,25,0.0,0.0,0.13319225276039096
0,5368,8.994170327717338,0,200,0.0,0.0,0.018845326668962936
0,5400,9.047786842338605,0,200,0.0,0.0,0.018845326668962936
0,5408,9.06119097099392,0,200,0.0,0.0,0.018845326668962936
0,5416,9.074595099649237,0,200,0.0,0.0,0.018845326668962936
1,2697,4.53371089821177,0,25,0.0,0.0,0.13319225276039096
1,4050,6.800684157042165,0,25,0.0,0.0,0.13319225276039096
1,4727,7.935008544498319,0,25,0.0,0.0,0.13319225276039096
1,5065,8.50133298018544,0,25,0.0,0.0,0.13319225276039096
1,5235,8.786170714110915,0,25,0.0,0.0,0.13319225276039096
1,5319,8.926914064991736,0,25,0.0,0.0,0.13319225276039096
1,5340,8.962099902711943,0,25,0.0,0.0,0.13319225276039096
1,5343,8.967126450957686,0,100,0.0,0.0,0.03699349876899627
1,5344,8.968801967039601,0,100,0.0,0.0,0.03699349876899627
1,5345,8.970477483121515,0,100,0.0,0.0,0.03699349876899627
1,5346,8.97215299920343,0,100,0.0,0.0,0.03699349876899627
1,5347,8.973828515285344,0,100,0.0,0.0,0.03699349876899627
1,5348,8.97550403136726,0,100,0.0,0.0,0.03699349876899627
1,5349,8.977179547449174,0,100,0.0,0.0,0.03699349876899627
1,5350,8.978855063531089,0,100,0.0,0.0,0.03699349876899627
1,5351,8.980530579613003,0,200,0.0,0.0,0.018845326668962936
1,5356,8.988908160022575,0,25,0.0,0.0,0.13319225276039096
1,5359,8.99393470826832,0,200,0.0,0.0,0.018845326668962936
1,5391,9.047551222889584,0,200,0.0,0.0,0.018845326668962936
1,5399,9.060955351544902,0,200,0.0,0.0,0.018845326668962936
1,5407,9.074359480200219,0,200,0.0,0.0,0.018845326668962936
2,2688,4.533475278762751,0,25,0.0,0.0,0.13319225276039096
2,4042,6.802124053675059,0,25,0.0,0.0,0.13319225276039096
2,4718,7.9347729250493,0,25,0.0,0.0,0.13319225276039096
2,5057,8.502772876818334,0,25,0.0,0.0,0.13319225276039096
2,5226,8.785935094661895,0,25,0.0,0.0,0.13319225276039096
2,5310,8.926678445542716,0,25,0.0,0.0,0.13319225276039096
2,5331,8.961864283262923,0,25,0.0,0.0,0.13319225276039096
2,5335,8.968566347590581,0,100,0.0,0.0,0.03699349876899627
2,5336,8.970241863672495,0,100,0.0,0.0,0.03699349876899627
2,5337,8.97191737975441,0,100,0.0,0.0,0.03699349876899627
2,5338,8.973592895836324,0,100,0.0,0.0,0.03699349876899627
2,5339,8.97526841191824,0,100,0.0,0.0,0.03699349876899627
2,5340,8.976943928000154,0,100,0.0,0.0,0.03699349876899627
2,5341,8.978619444082067,0,100,0.0,0.0,0.03699349876899627
2,5342,8.980294960163983,0,100,0.0,0.0,0.03699349876899627
2,5343,8.981970476245897,0,200,0.0,0.0,0.018845326668962936
2,5347,8.988672540573555,0,25,0.0,0.0,0.13319225276039096
2,5350,8.9936990888193,0,25,0.0,0.0,0.13319225276039096
2,5351,8.995374604901214,0,200,0.0,0.0,0.018845326668962936
2,5383,9.04899111952248,0,200,0.0,0.0,0.018845326668962936
2,5391,9.062395248177795,0,200,0.0,0.0,0.018845326668962936
2,5399,9.075799376833112,0,200,0.0,0.0,0.018845326668962936
3,2679,4.533239659313732,0,25,0.0,0.0,0.13319225276039096
3,4033,6.801888434226041,0,25,0.0,0.0,0.13319225276039096
3,4709,7.934537305600281,0,25,0.0,0.0,0.13319225276039096
3,5048,8.502537257369315,0,25,0.0,0.0,0.13319225276039096
3,5217,8.785699475212876,0,25,0.0,0.0,0.13319225276039096
3,5301,8.926442826093698,0,25,0.0,0.0,0.13319225276039096
3,5323,8.963304179895818,0,25,0.0,0.0,0.13319225276039096
3,5326,8.968330728141563,0,100,0.0,0.0,0.03699349876899627
3,5327,8.970006244223477,0,100,0.0,0.0,0.03699349876899627
3,5328,8.971681760305392,0,100,0.0,0.0,0.03699349876899627
3,5329,8.973357276387306,0,100,0.0,0.0,0.03699349876899627
3,5330,8.97503279246922,0,100,0.0,0.0,0.03699349876899627
3,5331,8.976708308551135,0,100,0.0,0.0,0.03699349876899627
3,5332,8.978383824633049,0,100,0.0,0.0,0.03699349876899627
3,5333,8.980059340714964,0,100,0.0,0.0,0.03699349876899627
3,5334,8.981734856796878,0,200,0.0,0.0,0.018845326668962936
3,5338,8.988436921124537,0,25,0.0,0.0,0.13319225276039096
3,5341,8.99346346937028,0,25,0.0,0.0,0.13319225276039096
3,5342,8.995138985452195,0,200,0.0,0.0,0.018845326668962936
3,5374,9.048755500073462,0,200,0.0,0.0,0.018845326668962936
3,5382,9.062159628728777,0,200,0.0,0.0,0.018845326668962936
3,5390,9.075563757384094,0,200,0.0,0.0,0.018845326668962936
4,2671,4.534679555946627,0,25,0.0,0.0,0.13319225276039096
4,4024,6.801652814777022,0,25,0.0,0.0,0.13319225276039096
4,4701,7.935977202233176,0,25,0.0,0.0,0.13319225276039096
4,5039,8.502301637920295,0,25,0.0,0.0,0.13319225276039096
4,5208,8.785463855763854,0,25,0.0,0.0,0.13319225276039096
4,5293,8.927882722726592,0,25,0.0,0.0,0.13319225276039096
4,5314,8.963068560446798,0,25,0.0,0.0,0.13319225276039096
4,5317,8.968095108692541,0,100,0.0,0.0,0.03699349876899627
4,5318,8.969770624774457,0,100,0.0,0.0,0.03699349876899627
4,5319,8.97144614085637,0,100,0.0,0.0,0.03699349876899627
4,5320,8.973121656938286,0,100,0.0,0.0,0.03699349876899627
4,5321,8.9747971730202,0,100,0.0,0.0,0.03699349876899627
4,5322,8.976472689102115,0,100,0.0,0.0,0.03699349876899627
4,5323,8.978148205184029,0,100,0.0,0.0,0.03699349876899627
4,5324,8.979823721265944,0,100,0.0,0.0,0.03699349876899627
4,5325,8.981499237347858,0,200,0.0,0.0,0.018845326668962936
4,5330,8.98987681775743,0,25,0.0,0.0,0.13319225276039096
4,5332,8.99322784992126,0,25,0.0,0.0,0.13319225276039096
4,5333,8.994903366003175,0,200,0.0,0.0,0.018845326668962936
4,5365,9.04851988062444,0,200,0.0,0.0,0.018845326668962936
4,5373,9.061924009279757,0,200,0.0,0.0,0.018845326668962936
4,5381,9.075328137935074,0,200,0.0,0.0,0.018845326668962936
5,2662,4.534443936497608,0,25,0.0,0.0,0.13319225276039096
5,4015,6.8014171953280025,0,25,0.0,0.0,0.13319225276039096
5,4692,7.935741582784157,0,25,0.0,0.0,0.13319225276039096
5,5030,8.502066018471277,0,25,0.0,0.0,0.13319225276039096
5,5199,8.785228236314836,0,25,0.0,0.0,0.13319225276039096
5,5284,8.927647103277573,0,25,0.0,0.0,0.13319225276039096
5,5305,8.96283294099778,0,25,0.0,0.0,0.13319225276039096
5,5308,8.967859489243523,0,100,0.0,0.0,0.03699349876899627
5,5309,8.969535005325438,0,100,0.0,0.0,0.03699349876899627
5,5310,8.971210521407352,0,100,0.0,0.0,0.03699349876899627
5,5311,8.972886037489268,0,100,0.0,0.0,0.03699349876899627
5,5312,8.974561553571181,0,100,0.0,0.0,0.03699349876899627
5,5313,8.976237069653097,0,100,0.0,0.0,0.03699349876899627
5,5314,8.97791258573501,0,100,0.0,0.0,0.03699349876899627
5,5315,8.979588101816926,0,100,0.0,0.0,0.03699349876899627
5,5316,8.98126361789884,0,200,0.0,0.0,0.018845326668962936
5,5321,8.989641198308412,0,25,0.0,0.0,0.13319225276039096
5,5323,8.992992230472241,0,25,0.0,0.0,0.13319225276039096
5,5324,8.994667746554157,0,200,0.0,0.0,0.018845326668962936
5,5356,9.048284261175422,0,200,0.0,0.0,0.018845326668962936
5,5364,9.061688389830739,0,200,0.0,0.0,0.018845326668962936
5,5372,9.075092518486056,0,200,0.0,0.0,0.018845326668962936
6,2653,4.534208317048588,0,25,0.0,0.0,0.13319225276039096
6,4006,6.801181575878982,0,25,0.0,0.0,0.13319225276039096
6,4683,7.935505963335137,0,25,0.0,0.0,0.13319225276039096
6,5021,8.501830399022259,0,25,0.0,0.0,0.13319225276039096
6,5190,8.784992616865818,0,25,0.0,0.0,0.13319225276039096
6,5275,8.927411483828555,0,25,0.0,0.0,0.13319225276039096
6,5296,8.962597321548762,0,25,0.0,0.0,0.13319225276039096
6,5299,8.967623869794505,0,100,0.0,0.0,0.03699349876899627
6,5300,8.96929938587642,0,100,0.0,0.0,0.03699349876899627
6,5301,8.970974901958334,0,100,0.0,0.0,0.03699349876899627
6,5302,8.97265041804025,0,100,0.0,0.0,0.03699349876899627
6,5303,8.974325934122163,0,100,0.0,0.0,0.03699349876899627
6,5304,8.976001450204079,0,100,0.0,0.0,0.03699349876899627
6,5305,8.977676966285992,0,100,0.0,0.0,0.03699349876899627
6,5306,8.979352482367906,0,100,0.0,0.0,0.03699349876899627
6,5307,8.981027998449822,0,200,0.0,0.0,0.018845326668962936
6,5312,8.989405578859394,0,25,0.0,0.0,0.13319225276039096
6,5314,8.992756611023223,0,25,0.0,0.0,0.13319225276039096
6,5315,8.994432127105139,0,200,0.0,0.0,0.018845326668962936
6,5347,9.048048641726403,0,200,0.0,0.0,0.018845326668962936
6,5355,9.06145277038172,0,200,0.0,0.0,0.018845326668962936
6,5363,9.074856899037037,0,200,0.0,0.0,0.018845326668962936
7,2644,4.533972697599569,0,25,0.0,0.0,0.13319225276039096
7,3997,6.800945956429963,0,25,0.0,0.0,0.13319225276039096
7,4674,7.935270343886118,0,25,0.0,0.0,0.13319225276039096
7,5012,8.501594779573239,0,25,0.0,0.0,0.13319225276039096
7,5181,8.784756997416798,0,25,0.0,0.0,0.13319225276039096
7,5266,8.927175864379535,0,25,0.0,0.0,0.13319225276039096
7,5287,8.962361702099741,0,25,0.0,0.0,0.13319225276039096
7,5290,8.967388250345484,0,100,0.0,0.0,0.03699349876899627
7,5291,8.9690637664274,0,100,0.0,0.0,0.03699349876899627
7,5292,8.970739282509314,0,100,0.0,0.0,0.03699349876899627
