N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper,point_est_feasible,main_seed_verdict,main_seed_m,verify_seed_verdict,verify_seed_m
124,4260,8.978357644694269,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
188,3693,8.978357644694269,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
252,3126,8.978357644694269,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
316,2559,8.978357644694269,10,200,0.05,0.027382645473457017,0.08957814852860962,False,insufficient,200,,
380,1992,8.978357644694269,28,200,0.14,0.09866982605979482,0.1948988091418585,False,insufficient,200,,
444,1425,8.978357644694269,64,200,0.32,0.2592653327095053,0.38751898489132125,False,insufficient,200,,
508,858,8.978357644694269,115,200,0.575,0.505709325931126,0.6414638750685293,False,insufficient,200,,
572,291,8.978357644694269,163,200,0.815,0.755429371876425,0.8626980723221283,False,insufficient,200,,
60,4827,8.97835764469427,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
3,5332,8.978383824633049,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
67,4765,8.978383824633049,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
131,4198,8.978383824633049,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
195,3631,8.978383824633049,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
259,3064,8.978383824633049,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
323,2497,8.978383824633049,8,200,0.04,0.0204056319610195,0.0769320685744264,False,insufficient,200,,
387,1930,8.978383824633049,33,200,0.165,0.11996855297651625,0.22265781589168893,False,insufficient,200,,
451,1363,8.978383824633049,70,200,0.35,0.28728824080917403,0.4183653571915147,False,insufficient,200,,
515,796,8.978383824633049,118,200,0.59,0.5207645897876366,0.65584325141195,False,insufficient,200,,
579,229,8.978383824633049,167,200,0.835,0.777342184108311,0.8800314470234837,False,insufficient,200,,
330,2435,8.978410004571828,9,200,0.045,0.02385254288504434,0.08329670438371192,False,insufficient,200,,
10,5270,8.97841000457183,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
74,4703,8.97841000457183,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
138,4136,8.97841000457183,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
202,3569,8.97841000457183,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
266,3002,8.97841000457183,3,200,0.015,0.005114237753504754,0.043165729115389295,False,insufficient,200,,
394,1868,8.97841000457183,35,200,0.175,0.1286051503455461,0.23364431198927976,False,insufficient,200,,
458,1301,8.97841000457183,73,200,0.365,0.30140526417602626,0.4336829740245936,False,insufficient,200,,
522,734,8.97841000457183,118,200,0.59,0.5207645897876366,0.65584325141195,False,insufficient,200,,
586,167,8.97841000457183,167,200,0.835,0.777342184108311,0.8800314470234837,False,insufficient,200,,
17,5208,8.978436184510608,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
337,2373,8.978436184510608,12,200,0.06,0.03465219410651454,0.10193169336217282,False,insufficient,200,,
401,1806,8.978436184510608,36,200,0.18,0.13294625827141174,0.2391147507967245,False,insufficient,200,,
465,1239,8.978436184510608,80,200,0.4,0.3346057851761492,0.46916328015764336,False,insufficient,200,,
529,672,8.978436184510608,125,200,0.625,0.5561430364380054,0.6891456318947539,False,insufficient,200,,
593,105,8.978436184510608,170,200,0.85,0.7939442066666507,0.8928640646650752,False,insufficient,200,,
81,4641,8.97843618451061,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
145,4074,8.97843618451061,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
209,3507,8.97843618451061,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
273,2940,8.97843618451061,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
24,5146,8.978462364449388,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
88,4579,8.978462364449388,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
152,4012,8.978462364449388,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
216,3445,8.978462364449388,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
280,2878,8.978462364449388,5,200,0.025,0.010724719583860124,0.05717834075165468,False,insufficient,200,,
344,2311,8.978462364449388,15,200,0.075,0.04597491700833055,0.12004361066028794,False,insufficient,200,,
408,1744,8.978462364449388,39,200,0.195,0.1460552050050192,0.2554404442630482,False,insufficient,200,,
