N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper,verdict,main_seed_verdict
607,21,9.04550918766475,3603,4000,0.90075,0.8910961164042407,0.9096348897869438,crossing,crossing
617,1,9.160439118908576,3684,4000,0.921,0.9122311899503853,0.9289609587869538,reliable,
618,0,9.173607628114874,3690,4000,0.9225,0.9138025594447571,0.9303867109626675,reliable,
605,39,9.045980426562789,3588,4000,0.897,0.8871963089367354,0.9060418930792352,crossing,crossing
606,38,9.059148935769086,3597,4000,0.89925,0.8895357174233779,0.908198167097721,crossing,crossing
608,29,9.073757341608278,3615,4000,0.90375,0.8942188763592372,0.9125063731721184,crossing,crossing
611,0,9.069699451097392,3641,4000,0.91025,0.9009943011059985,0.9187184756623942,reliable,crossing
603,57,9.046451665460827,3565,4000,0.89125,0.8812240502081042,0.9005251854058719,crossing,crossing
609,12,9.060117593503945,3626,4000,0.9065,0.8970837818640386,0.9151361907291403,crossing,crossing
610,11,9.07328610271024,3634,4000,0.9085,0.8991688295041171,0.9170473053158426,crossing,crossing
606,22,9.032340678458453,3597,4000,0.89925,0.8895357174233779,0.908198167097721,crossing,crossing
608,13,9.046949084297646,3615,4000,0.90375,0.8942188763592372,0.9125063731721184,crossing,crossing
604,64,9.073024303322441,3580,4000,0.895,0.885118004031669,0.904124035757521,crossing,crossing
617,0,9.158763602826662,3684,4000,0.921,0.9122311899503853,0.9289609587869538,reliable,reliable
607,29,9.058913316320066,3603,4000,0.90075,0.8910961164042407,0.9096348897869438,crossing,crossing
605,47,9.059384555218106,3588,4000,0.897,0.8871963089367354,0.9060418930792352,crossing,crossing
611,2,9.073050483261222,3641,4000,0.91025,0.9009943011059985,0.9187184756623942,reliable,crossing
606,46,9.072553064424403,3597,4000,0.89925,0.8895357174233779,0.908198167097721,crossing,crossing
609,20,9.07352172215926,3626,4000,0.9065,0.8970837818640386,0.9151361907291403,crossing,crossing
607,13,9.032105059009433,3603,4000,0.90075,0.8910961164042407,0.9096348897869438,crossing,crossing
604,48,9.046216046011809,3580,4000,0.895,0.885118004031669,0.904124035757521,crossing,crossing
606,30,9.04574480711377,3597,4000,0.89925,0.8895357174233779,0.908198167097721,crossing,crossing
608,21,9.060353212952963,3615,4000,0.90375,0.8942188763592372,0.9125063731721184,crossing,crossing
609,4,9.046713464848628,3626,4000,0.9065,0.8970837818640386,0.9151361907291403,crossing,crossing
607,37,9.072317444975383,3603,4000,0.90075,0.8910961164042407,0.9096348897869438,crossing,crossing
610,3,9.059881974054923,3634,4000,0.9085,0.8991688295041171,0.9170473053158426,crossing,crossing
605,55,9.072788683873421,3588,4000,0.897,0.8871963089367354,0.9060418930792352,crossing,crossing
616,0,9.143919577538451,3676,4000,0.919,0.910137401692598,0.9270585848179604,reliable,
603,73,9.07325992277146,3565,4000,0.89125,0.8812240502081042,0.9005251854058719,crossing,crossing
608,5,9.033544955642329,3615,4000,0.90375,0.8942188763592372,0.9125063731721184,crossing,crossing
604,56,9.059620174667126,3580,4000,0.895,0.885118004031669,0.904124035757521,crossing,crossing
