case,uav_id,segment_id,from_id,to_id,path_type,depart_time,arrive_time,service_start,service_end,wait_seconds,distance_km,affected_zones
Case3,1,1,0,29,direct,0,5312,,,0,81.14651556168324,
Case3,1,2,29,3,direct,5612,6185,,,0,8.739786313598339,
Case3,1,3,3,30,direct,6485,7058,,,0,8.739786313598339,
Case3,1,4,30,127,direct,7358,8411,,,0,16.08165506987387,
Case3,1,5,127,120,direct,8711,10160,,,0,22.122937628870634,
Case3,1,6,120,126,direct,10460,10582,,,0,1.8516688526839755,
Case3,1,7,126,86,direct,10882,11637,,,0,11.530759663612805,
Case3,1,8,86,109,direct,11937,12567,,,0,9.617177727899188,
Case3,1,9,109,95,direct,12867,13312,,,0,6.79273191359706,
Case3,1,10,95,136,direct,13612,14083,,,0,7.195290153982677,
Case3,1,11,136,132,direct,14383,14879,,,0,7.5748130227748875,
Case3,1,12,132,137,direct,15179,15675,,,0,7.5748130227748875,
Case3,1,13,137,77,direct,15975,17215,,,0,18.934930751919858,
Case3,1,14,77,67,direct,17515,18164,,,0,9.90662237546178,
Case3,1,15,67,85,direct,18464,19122,,,0,10.044983765541884,
Case3,1,16,85,48,direct,19422,20080,,,0,10.049540552682,
Case3,1,17,48,129,direct,20380,21836,,,0,22.230486303497724,
Case3,1,18,129,18,direct,22136,23706,,,0,23.984834313790873,
Case3,1,19,18,2,direct,24006,25528,,,0,23.24183266203421,
Case3,1,20,2,10,direct,25828,26191,,,0,5.535992096273268,
Case3,1,21,10,98,direct,26491,27602,,,0,16.963155783962012,
Case3,1,22,98,119,direct,27902,28434,,,0,8.126571102913214,
Case3,1,23,119,39,direct,28734,30084,,,0,20.60987822911382,
Case3,1,24,39,58,direct,30384,32698,,,0,35.35031270079658,
Case3,1,25,58,32,direct,32998,33276,,,0,4.2468329686249735,
Case3,1,26,32,0,direct,33576,33903,,,0,4.986390824163304,
Case3,2,1,0,9,direct,0,1444,,,0,22.05629517507417,
Case3,2,2,9,44,direct,1744,2120,,,0,5.7419226135502734,
Case3,2,3,44,38,direct,2420,4205,,,0,27.26425867386825,
Case3,2,4,38,68,direct,4505,5025,,,0,7.932317483062558,
Case3,2,5,68,114,direct,5325,6260,,,0,14.27903032670286,
Case3,2,6,114,97,visibility,6560,8407,,,0,28.20405149297413,"Z5,Z4,Z1,Z6,Z3"
Case3,2,7,97,73,direct,8707,9421,,,0,10.8986847030311,
Case3,2,8,73,128,direct,9721,9995,,,0,4.179372819024405,
Case3,2,9,128,99,direct,10295,11168,,,0,13.334271142637085,
Case3,2,10,99,103,direct,11468,12393,,,0,14.130337318939844,
Case3,2,11,103,1,direct,12693,13549,,,0,13.072240131289664,
Case3,2,12,1,88,direct,13849,13991,,,0,2.1660012857798514,
Case3,2,13,88,24,direct,14291,15006,,,0,10.920103078268083,
Case3,2,14,24,90,direct,15306,15744,,,0,6.689549965431157,
Case3,2,15,90,125,direct,16044,16594,,,0,8.401354846094772,
Case3,2,16,125,19,direct,16894,17696,,,0,12.24372306776007,
Case3,2,17,19,121,direct,17996,18264,,,0,4.0883477457280994,
Case3,2,18,121,17,direct,18564,18830,,,0,4.057338251859219,
Case3,2,19,17,117,direct,19130,19645,,,0,7.855049850892097,
Case3,2,20,117,108,direct,19945,20181,,,0,3.5974747615514926,
Case3,2,21,108,70,direct,20481,20729,,,0,3.7785669902755545,
Case3,2,22,70,6,direct,21029,21729,,,0,10.679510215829188,
Case3,2,23,6,41,direct,22029,22307,,,0,4.23730852900754,
Case3,2,24,41,12,direct,22607,23392,,,0,11.981360090156713,
Case3,2,25,12,26,direct,23692,24301,,,0,9.298262359172268,
Case3,2,26,26,111,direct,24601,24858,,,0,3.920864560272397,
Case3,2,27,111,75,direct,25158,29306,,,0,63.3625065985398,
Case3,2,28,75,82,direct,29606,31957,,,0,35.90346257623085,
Case3,2,29,82,0,direct,32257,33806,,,0,23.662790751211258,
Case3,3,1,0,74,direct,0,3610,,,0,55.14261590938537,
Case3,3,2,74,21,direct,3910,5136,,,0,18.723153956531988,
Case3,3,3,21,8,direct,5436,7185,,,0,26.70658103408222,
Case3,3,4,8,5,direct,7485,8941,,,0,22.23251195276862,
Case3,3,5,5,81,direct,9241,12067,,,0,43.172999075463814,
Case3,3,6,81,101,direct,12367,13316,,,0,14.493900375675278,
Case3,3,7,101,22,direct,13616,14334,,,0,10.96375733496505,
Case3,3,8,22,80,direct,14634,15524,,,0,13.5860406299996,
Case3,3,9,80,50,direct,15824,17056,,,0,18.81950651903497,
Case3,3,10,50,35,direct,17356,17590,,,0,3.562671706739193,
Case3,3,11,35,131,direct,17890,18472,,,0,8.879733423926641,
Case3,3,12,131,110,direct,18772,19063,,,0,4.442588300754407,
Case3,3,13,110,87,direct,19363,19677,,,0,4.7907917310189925,
Case3,3,14,87,133,direct,19977,20104,,,0,1.9366248191118458,
Case3,3,15,133,138,direct,20404,21424,,,0,15.576804147513695,
Case3,3,16,138,40,direct,21724,22664,,,0,14.348861998430403,
Case3,3,17,40,62,direct,22964,24078,,,0,17.013078424847166,
Case3,3,18,62,140,direct,24378,25475,,,0,16.75141062866051,
Case3,3,19,140,61,direct,25775,26251,,,0,7.271970246508169,
Case3,3,20,61,45,direct,26551,27188,,,0,9.73152964774937,
Case3,3,21,45,36,direct,27488,27871,,,0,5.840058977957759,
Case3,3,22,36,46,direct,28171,28554,,,0,5.840058977957759,
Case3,3,23,46,37,direct,28854,29237,,,0,5.840058977957759,
Case3,3,24,37,52,direct,29537,30649,,,0,16.98604096970215,
Case3,3,25,52,134,direct,30949,31210,,,0,3.9783245544486427,
Case3,3,26,134,0,direct,31510,33818,,,0,35.247892304838444,
Case3,4,1,0,16,direct,0,2838,,,0,43.34530473903719,
Case3,4,2,16,92,direct,3138,4919,,,0,27.208616251842,
Case3,4,3,92,89,direct,5219,7143,,,0,29.383452833355044,
Case3,4,4,89,49,direct,7443,8900,,,0,22.256711765218157,
Case3,4,5,49,93,direct,9200,10091,,,0,13.60649627530909,
Case3,4,6,93,4,direct,10391,12005,,,0,24.654026150914987,
Case3,4,7,4,11,direct,12305,13981,,,0,25.6051645534646,
Case3,4,8,11,33,direct,14281,14558,,,0,4.231200420684424,
Case3,4,9,33,106,direct,14858,15111,,,0,3.856556725889046,
Case3,4,10,106,42,direct,15411,16303,,,0,13.613524603496343,
Case3,4,11,42,71,direct,16603,17559,,,0,14.591433941871513,
Case3,4,12,71,118,direct,17859,18324,,,0,7.101554717102452,
